NUTS 3,NUTS 2,NUTS 1,Codigo_Cidade,Designação,Duração média dos movimentos pendulares (minutos) da população residente empregada ou estudante por Local de residência (Cidade),A pé,Automovel ligeiro - como condutor,Automovel ligeiro - como passageiro,Autocarro,Transporte colectivo da empresa ou da escola,Metropolitano,Comboio,Motociclo,Bicicleta,Barco,Outro
184,18,1,1840137,Serpa,13.57,1153,1079,464,83,31,4,0,16,26,0,3
185,18,1,1850087,Almeirim,17.79,1667,3123,1138,272,126,5,160,63,164,0,7
185,18,1,1850088,Cartaxo,20.65,1490,3032,1145,288,178,5,277,34,54,0,13
185,18,1,1850089,Rio Maior,15.4,1362,2284,931,106,72,3,12,9,39,0,9
185,18,1,1850090,Santarém,18.17,3341,8379,3817,1026,177,34,539,90,32,0,37
185,18,1,1850154,Samora Correia,21.35,1467,3165,1328,673,145,4,169,57,94,0,17
150,15,1,1500103,Albufeira,14.55,3010,5354,2333,1106,476,2,47,121,65,1,20
150,15,1,1500104,Faro,14.75,8620,12962,4834,1256,497,14,83,335,163,14,34
150,15,1,1500105,Lagos,13.39,3450,4457,1853,412,211,6,67,132,75,1,19
150,15,1,1500106,Loulé,14.84,2981,4209,1289,325,276,8,8,57,34,0,9
150,15,1,1500107,Olhão da Restauração,16.43,5243,6768,2617,683,300,5,350,175,299,101,16
150,15,1,1500108,Portimão,14.5,5626,11249,4262,1681,541,13,74,302,144,0,32
150,15,1,1500109,Silves,14.95,1160,1550,569,121,112,0,19,21,20,0,4
150,15,1,1500110,Tavira,15.39,2176,3444,1378,153,98,3,158,128,108,6,10
150,15,1,1500111,Vila Real de Santo António,12.28,2676,2124,798,117,41,1,47,76,284,0,5
150,15,1,1500122,Quarteira,14.46,3224,3728,1488,361,298,5,4,89,155,5,13
150,15,1,1500134,Lagoa,13.03,1101,1637,575,187,82,0,5,41,15,0,4
200,20,2,2000112,Angra do Heroísmo,11.37,1615,1918,959,268,73,0,0,38,5,0,9
200,20,2,2000113,Praia da Vitória,12.07,526,992,473,158,86,0,0,18,9,0,9
200,20,2,2000114,Horta,9.98,835,1403,754,102,49,0,0,52,11,17,20
200,20,2,2000115,Ponta Delgada,12.4,5175,11910,5978,2067,452,0,0,209,46,1,53
200,20,2,2000116,Ribeira Grande,14.34,2104,2760,1459,865,518,0,0,28,7,1,27
200,20,2,2000159,Lagoa,13.45,1378,1944,1096,381,138,0,0,53,11,2,18
300,30,3,3000117,Funchal,17.09,8736,24890,13858,16384,802,0,0,1080,16,7,89
300,30,3,3000118,Vila Baleira,9.87,488,1455,592,241,44,0,0,198,33,5,5
300,30,3,3000119,Santa Cruz,17.78,415,2026,1024,629,114,0,0,12,1,0,9
300,30,3,3000120,Machico,17.51,1590,2372,1050,1040,294,0,0,16,1,6,9
300,30,3,3000121,Câmara de Lobos,17.69,2005,2872,1915,2188,423,0,0,44,3,8,9
300,30,3,3000127,Santana,14.94,183,290,156,23,13,0,0,5,0,0,2
300,30,3,3000151,Caniço,18.59,877,7080,4148,1800,164,0,0,122,1,1,17
